,Dial,"Date, GMT",Price,Dial numerals,Location,Material bezel,Movement,Ref. No.,Waterproof,Brand,Glass,Clasp,Gender,Bracelet material,Case material,Case diameter,Bracelet color,url,Movement/Caliber,Clasp material,Condition,Year,Availability
With papers,Black,"Date, GMT","$6,295",No numerals,"United States, California, Newport Beach",Steel,Automatic,216570,10 ATM,Rolex,Sapphire Glass,Fold clasp,Men's watch/Unisex,Steel,Steel,42 mm,Steel,http://www.chrono24.com/rolex/explorer-ii--steel-black-dial-bezel-42mm-216570-new--id5450808.htm,3187,Steel,0 (unworn),2016,Available now
With papers,White,,"$14,999",No numerals,"United States, New York, New York",Steel,Automatic,116520,10 ATM,Rolex,Sapphire Glass,Buckle,Men's watch/Unisex,Steel,Steel,40 mm,Steel,http://www.chrono24.com/rolex/daytona-stainless-steel-white-dial--id4073981.htm,,Steel,0 (unworn),2015,Available now
With papers,Black,,"$29,500",,"United States, Pennsylvania, Philadelphia",,Automatic,218239,10 ATM,Rolex,,Fold clasp,Men's watch/Unisex,,White gold,41 mm,Silver,http://www.chrono24.com/rolex/day-date-ii-218239--id5601872.htm,,,1 (mint),,Available now
With papers,,,"$21,500",,"United States, New York, New York",,Automatic,116718,,Rolex,,Double-fold clasp,Men's watch/Unisex,Yellow Gold,Yellow gold,,Yellow,http://www.chrono24.com/rolex/rolex-watches---gmt-master-ii-yellow-gold--id3957919.htm,,Yellow gold,1 (mint),2010 2011 2012 2013 2014,Available now
With box,Champagne,,"$3,300",No numerals,"United States, Florida, Miami",Yellow gold,Automatic,,,Rolex,,Fold clasp,Men's watch/Unisex,Gold/Steel,Gold/Steel,36 mm,Gold/Steel,http://www.chrono24.com/rolex/datejust-36mm-two-tone-jubilee-band-champaigne-dial--id4831067.htm,,Steel,1 (mint),1975,Available now
With papers,Black,,,Arabic numerals,"Germany, Bietigheim-Bissingen",Ceramic,Automatic,IW501901,6 ATM,IWC,Sapphire Glass,Fold clasp,Men's watch/Unisex,Textile,Ceramic,48 mm,Black,http://www.chrono24.com/iwc/iwc-grosse-fliegeruhr-big-pilot-top-gun-ref-iw501901--id2531109.htm,IWC 51111,Titanium,0 (unworn),2016,Available now
With box,Blue,,"$4,452",,"United States, New York, Airmont",,Quartz,,20 ATM,Breitling,,Buckle,Ladies' watch,Calfskin,Steel,,Blue,http://www.chrono24.com/breitling/colt-lady-36mm-a7438953c913194x--id5001762.htm,,,0 (unworn),,Ready to ship in 3-5 days
With papers,Grey,,"$40,690",,"United States, Georgia, Atlanta",,Automatic,5135-P/010,3 ATM,Patek Philippe,Sapphire Glass,Buckle,Men's watch/Unisex,Crocodile skin,Platinum,40 mm,Grey,http://www.chrono24.com/patekphilippe/gents-platinum--ref--5135-p-gondolo-calendario-annual-calendar-strapwatch--id3645923.htm,,Platinum,1 (mint),,Available now
With papers,Blue,,"$34,995",,"United States, Florida, 33431",,,5711/1A-010,,Patek Philippe,,,Men's watch/Unisex,Steel,Steel,40 mm,Steel,http://www.chrono24.com/patekphilippe/nautilus-steel-blue-dial-mens-watch-boxpapers-57111a--id5707746.htm,,,1 (mint),2014,Available now
With papers,Black,,price on request,,"Italy, l'aquila",Ceramic,Manual winding,PAM00577 PAM577 577,10 ATM,Panerai,Sapphire Glass,Buckle,,Crocodile skin,Ceramic,48 mm,Brown,http://www.chrono24.com/panerai/radiomir-1940-3-days-ceramica---48mm-pam00577-new--id4898305.htm,Calibro P.3000,,0 (unworn),BRAND NEW,Available now
