,Case diameter,Dial,Code,Ref. No.,"Date, GMT",Gender,Brand,Dial numerals,Availability,Clasp,"Chronometer, Helium Valve",Case material,Location,url,Price,Condition,Movement
With papers,43 mm,Black,OMEG304934,215.30.44.22.01.001,"Date, GMT",Men's watch/Unisex,Omega,No numerals,Available now,Fold clasp,"Chronometer, Helium Valve",Steel,"United States, Pennsylvania, Philadelphia",http://www.chrono24.com/omega/seamaster-planet-ocean-co-axial-master-chronometer-gmt-21530442201001--id5674417.htm,"$5,495",1 (mint),Automatic
,22 mm,Mother of pearl,,,,Ladies' watch,Omega,Roman numerals,Available now,Buckle,,Steel,"United States, New York, New York",http://www.chrono24.com/omega/mint-lady--constellation-mini-stainless-steel-quartz-mop--id5701593.htm,$725,1 (mint),Quartz
,41 mm,Blue,OM1108166XL,168.1623,,Men's watch/Unisex,Omega,,Available now,Fold clasp,,Steel,"United States, New York, New York",http://www.chrono24.com/omega/mens-omega-seamaster-professional-automatic-1681623--id5313081.htm,"$2,199 [Negotiable]",1 (mint),Automatic
With papers,44 mm,Black,,231.10.44.52.06.001,,Men's watch/Unisex,Omega,No numerals,Available now,Fold clasp,,Steel,"United States, New York, New York",http://www.chrono24.com/omega/omega-seamaster-aqua-terra-big-size-gmt-stainless-like-new--id2883510.htm,"$5,400",1 (mint),Automatic
,35 mm,Silver,252721817981,,,Men's watch/Unisex,Omega,,Available now,,,,"United States, California, LOS ANGELES",http://www.chrono24.com/omega/seamaster-1960-swiss-made-bumper-auto-men-vintage-gold-capped-watch-mx104--id5583754.htm,"$2,199",1 (mint),Automatic
With papers,45.5 x 51.5 mm,Black,OMG2319,232.30.46.21.01.003,,Men's watch/Unisex,Omega,,Available now,Fold clasp,,Steel,"United States, Texas, Austin",http://www.chrono24.com/omega/--seamaster-planet-ocean-big-size--23230462101003--id4560674.htm,"$3,995",0 (unworn),Automatic
With box,,,34270,321.30.44.50.01.001,,Men's watch/Unisex,Omega,,Available now,Fold clasp,,Steel,"United States, Florida, Hollywood",http://www.chrono24.com/omega/speedmaster-legend--id5707792.htm,"$3,995 [Negotiable]",2 (fine),Automatic
With papers,37 mm,Mother of pearl,,,,Ladies' watch,IWC,,Available now,,,Steel,"Hong Kong SAR, Hong Kong",http://www.chrono24.com/iwc/iw459101-portofino-automatic-day--night--id4922557.htm,,0 (unworn),Automatic
With papers,42 mm,Black,K10121,15701ST.OO.A002CA.02,,Men's watch/Unisex,Audemars Piguet,,Available now,,,Steel,"Germany, Köln",http://www.chrono24.com/audemarspiguet/royal-oak-offshore-diver-stahl-15701stooa002ca02--id5688759.htm,,1 (mint),Automatic
With papers,41 mm,Black,,WAZ2110.BA0875,,Men's watch/Unisex,TAG Heuer,No numerals,Available now,Fold clasp,,Steel,"Italy, Trani",http://www.chrono24.com/tagheuer/formula-1--id4848358.htm,,0 (unworn),Automatic
