,Case diameter,Dial,Code,Ref. No.,Waterproof,url,Gender,Brand,Bracelet color,Availability,Clasp,Case material,Location,Date,Price,Condition,Movement
With papers,41 mm,Black,ROLE310959_1,218239,10 ATM,http://www.chrono24.com/rolex/day-date-ii-218239--id5601872.htm,Men's watch/Unisex,Rolex,Silver,Available now,Fold clasp,White gold,"United States, Pennsylvania, Philadelphia",Date,"$29,500",1 (mint),Automatic
With papers,,,,116718,,http://www.chrono24.com/rolex/rolex-watches---gmt-master-ii-yellow-gold--id3957919.htm,Men's watch/Unisex,Rolex,Yellow,Available now,Double-fold clasp,Yellow gold,"United States, New York, New York",,"$21,500",1 (mint),Automatic
With papers,40 mm,Blue,132085034049,218235,,http://www.chrono24.com/rolex/platinum-presidential-10ct-diamond-rolex-day-date-ii-blue-dial-roman-numerals--id5709715.htm,Men's watch/Unisex,Rolex,,Available now,,Platinum,"United States, New York, New York",Date,"$84,999",1 (mint),Automatic
With box,36 mm,Champagne,,,,http://www.chrono24.com/rolex/datejust-36mm-two-tone-jubilee-band-champaigne-dial--id4831067.htm,Men's watch/Unisex,Rolex,Gold/Steel,Available now,Fold clasp,Gold/Steel,"United States, Florida, Miami",,"$3,300",1 (mint),Automatic
,36 mm,Silver,RX0105171X,16263,,http://www.chrono24.com/rolex/mens-rolex-datejust-thunderbird-18k-yg--ss-16263--id5565622.htm,Men's watch/Unisex,Rolex,Gold/Steel,Available now,Fold clasp,Steel,"United States, New York, New York",,"$6,199 [Negotiable]",1 (mint),Automatic
,41 mm,Black,11176616517,116333,,http://www.chrono24.com/rolex/mens-2tone-datejust-41mm-latest-model-116333-raised-18k-gold-roman-unworn--id5531021.htm,Men's watch/Unisex,Rolex,,Available now,"Fold clasp, hidden",Gold/Steel,"United States, California, Orange",Date,"$10,990",0 (unworn),
With papers,"32,7 mm",Mother of pearl,,424.10.33.20.55.002  42410332055002,3 ATM,http://www.chrono24.com/omega/de-ville-prestige-co-axial-mother-of-pearl-dial-327mm--r--id4746433.htm,,Omega,Steel,Available now,Fold clasp,Steel,"Italy, l'aquila",Date,,0 (unworn),Automatic
With papers,,,,IW329002,,http://www.chrono24.com/iwc/aquatimer-automatic--id3632248.htm,,IWC,,Ready to ship in 6-10 days,,,"United Kingdom, London",,,0 (unworn),
With papers,45 mm,Grey,500.624,IW510103,,http://www.chrono24.com/iwc/portofino-hand-wound-eight-days-incl-19-mwst--id1797004.htm,Men's watch/Unisex,IWC,Brown,Ready to ship in 6-10 days,,Steel,"Germany, Stuttgart",Date,,0 (unworn),Manual winding
With papers,,Black,,5712R-001,,http://www.chrono24.com/patekphilippe/nautilus-5712r-rose-gold-tiffany-dial--id5382640.htm,Men's watch/Unisex,Patek Philippe,Brown,Available now,Fold clasp,Pink gold,"Germany, Berlin",,,0 (unworn),Automatic
With box,29 mm,Gold,,3852j,Not Waterproof,http://www.chrono24.com/patekphilippe/ellisse-doro--id5231112.htm,Men's watch/Unisex,Patek Philippe,Black,Available now,,Yellow gold,"Italy, Bologna",,,1 (mint),Manual winding
With papers,37 mm,White,,,,http://www.chrono24.com/patekphilippe/pocket-watch-an-elegant-18k-gold-ladys-pocket-watch--id3150121.htm,,Patek Philippe,,Available now,,Pink gold,"Germany, Mannheim",,,2 (fine),Manual winding
With papers,,,4822,542.CM.1770.RX,,http://www.chrono24.com/hublot/--classic-fusion-black-magic--id5017103.htm,,Hublot,,Ready to ship in 6-10 days,Fold clasp,Ceramic,"Italy, Torino",,,0 (unworn),Automatic
