,Clasp material,Ref. No.,Bracelet color,url,Gender,Brand,Bracelet material,Availability,Clasp,Case material,Location,Year,Price,Condition,Movement
With papers,Yellow gold,116718,Yellow,http://www.chrono24.com/rolex/rolex-watches---gmt-master-ii-yellow-gold--id3957919.htm,Men's watch/Unisex,Rolex,Yellow Gold,Available now,Double-fold clasp,Yellow gold,"United States, New York, New York",2010 2011 2012 2013 2014,"$21,500",1 (mint),Automatic
With papers,,116000,Steel,http://www.chrono24.com/rolex/new-style-rolex-oyster-perpetual-genuine-pearl-face-w-diamonds--sapphires-11600--id5735228.htm,Men's watch/Unisex,Rolex,Steel,Available now,,,"United States, New York, New York",,"$13,999",1 (mint),Automatic
With papers,,116234,,http://www.chrono24.com/rolex/datejust-mens-unused-heavy-jubilee-bandhidden-clasp-model-116234-in-box-with-tags-black-roman-dial-and-wg-fluted-bezel--id4295843.htm,Men's watch/Unisex,Rolex,,Available now,"Fold clasp, hidden",Steel,"United States, Florida, miami",,"$6,745",0 (unworn),
With box,,14060,Steel,http://www.chrono24.com/rolex/submariner-mens-stainless-steel-watch-no-date-14060--id4739437.htm,Men's watch/Unisex,Rolex,Steel,Available now,,Steel,"United States, Texas, Dallas",,"$4,795",,Automatic
With papers,Steel,[2016最新Mark18]Pilot's Watch IW327011Pilot Mark XIII [NEW],Steel,http://www.chrono24.com/iwc/cally---2016mark18pilots-watch-iw327011-pilot-mark-xiii--id4399033.htm,Men's watch/Unisex,IWC,Steel,Available now,Double-fold clasp,Steel,"Hong Kong SAR, Kowloon",2016,,0 (unworn),Automatic
With box,,26176FO.OO.D101CR.03,Black,http://www.chrono24.com/audemarspiguet/royal-oak-offshore--id5416891.htm,Men's watch/Unisex,Audemars Piguet,Crocodile skin,On request,Fold clasp,Carbon,"United States, New York, Brooklyn NY",,"$27,350",0 (unworn),Automatic
,Steel,CAH 1110,Black,http://www.chrono24.com/tagheuer/formula-1-chronograph-steel-quartz--id5722597.htm,Men's watch/Unisex,TAG Heuer,Rubber,Available now,Buckle,Steel,"Spain, MADRID",,,1 (mint),Quartz
With papers,,CAK211A.FT8019,,http://www.chrono24.com/tagheuer/aquaracer-500m-calibre-72-chronograph--id4865754.htm,,TAG Heuer,Rubber,On request,Buckle,Steel,"Germany, Bamberg",,,0 (unworn),Automatic
With papers,,WAP2150.BD0839,Gold/Steel,http://www.chrono24.com/tagheuer/aquaracer-automatik--id4865774.htm,,TAG Heuer,Gold/Steel,On request,Fold clasp,Gold/Steel,"Germany, Bamberg",,,0 (unworn),Automatic
With papers,Steel,CAY2112.BA0927,,http://www.chrono24.com/tagheuer/aquaracer-calibre-16-chronograph--id3369543.htm,Men's watch/Unisex,TAG Heuer,Steel,Ready to ship in 6-10 days,Fold clasp,Steel,"Spain, Pamplona",,,0 (unworn),Automatic
With papers,Steel,WAS2111.FC6293,Black,http://www.chrono24.com/tagheuer/carrera-heritage-calibre-6--id2953826.htm,Men's watch/Unisex,TAG Heuer,Crocodile skin,Ready to ship in 6-10 days,Fold clasp,Steel,"Spain, Pamplona",,,0 (unworn),Automatic
With papers,Steel,WAU2212.BA0859,,http://www.chrono24.com/tagheuer/formula-1-ladies-diamonds--id2488787.htm,Ladies' watch,TAG Heuer,Steel,Ready to ship in 6-10 days,Double-fold clasp,Steel,"Spain, Pamplona",,,0 (unworn),Automatic
With papers,Steel,WAY2113.BA0910,Steel,http://www.chrono24.com/tagheuer/aquaracer-calibre-5--id5639450.htm,Ladies' watch,TAG Heuer,Steel,Ready to ship in 6-10 days,Fold clasp,Steel,"Spain, Pamplona",,,0 (unworn),Automatic
